,files changed,lines added,lines removed,loops added,loops removed,ifs added,ifs removed,boolean_op added,boolean_op removed,pairs added,pairs removed,function calls added,function calls removed,assignment added,assignment removed,sizeof added,sizeof removed,continue added,continue removed,break added,break removed,goto added,goto removed,return added,return removed,numerical added,numerical removed,compare added,compare removed,error added,error removed,char changed
239,1,3,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,74
240,1,1,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
241,1,2,1,0,0,1,1,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,34
242,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
243,2,15,15,0,0,0,0,0,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16
244,2,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183
245,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,36
246,1,15,2,0,0,0,0,0,0,14,4,13,4,5,0,5,1,0,0,0,0,0,0,0,0,22,3,0,0,0,0,640
247,1,18,4,0,0,1,0,1,0,7,3,6,3,2,1,0,0,0,0,0,0,0,0,4,2,8,5,1,0,0,0,345
248,1,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,78
249,1,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,77
250,1,0,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-168
251,1,13,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249
252,1,9,1,1,0,2,0,2,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,0,0,221
253,2,7,0,0,0,1,0,1,0,8,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,1,0,293
254,2,1,1,0,0,1,1,2,1,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
255,1,149,82,2,1,22,15,16,1,57,37,30,20,22,24,0,0,1,0,2,0,0,0,4,3,101,76,8,4,0,0,1741
256,2,28,0,0,0,4,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0,0,597
257,1,17,34,0,1,0,0,0,0,4,10,1,8,0,15,0,0,0,0,0,0,1,1,0,1,2,30,0,1,0,0,-618
258,1,5,3,0,0,1,0,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,6,3,2,0,0,32
259,1,2,1,0,0,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,66
260,2,6,0,0,0,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,160
261,1,0,4,0,0,0,2,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,-137
262,2,14,2,0,0,3,1,1,0,8,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,5,1,3,1,0,0,460
263,1,30,18,1,1,4,2,1,0,20,9,14,6,1,1,0,0,0,0,0,0,0,0,0,0,3,5,1,1,0,0,446
264,2,19,5,0,0,4,0,2,0,16,8,8,6,1,0,0,0,0,0,0,0,0,0,3,1,4,3,2,0,0,0,262
265,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-30
266,1,39,20,0,0,4,1,3,2,32,20,16,9,1,4,0,0,0,0,0,0,0,0,6,0,16,14,7,3,0,0,248
267,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47
268,1,4,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,46
269,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51
270,1,2,16,0,0,2,2,1,5,4,14,1,9,0,0,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,-511
271,1,4,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,149
272,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
273,1,62,1,4,0,4,0,6,0,23,1,18,1,2,0,0,0,3,0,0,0,0,0,2,0,9,0,0,0,1,0,1708
274,1,1,1,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
275,3,2,1,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
276,1,18,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,1,0,0,0,0,390
277,2,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,-3
278,1,2,1,0,0,1,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,1,0,0,41
279,3,29,0,1,0,3,0,1,0,8,0,4,0,4,0,0,0,0,0,0,0,0,0,2,0,14,0,2,0,0,0,633
280,3,3,3,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
281,1,15,3,0,0,3,1,3,1,9,4,6,2,1,0,2,0,0,0,0,0,0,0,0,0,4,2,5,1,3,1,359
282,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,-13
283,2,62,0,0,0,1,0,0,0,95,0,87,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2804
284,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
285,1,14,0,0,0,1,0,1,0,4,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,385
286,1,17,6,0,0,0,0,0,0,7,0,7,0,3,0,0,0,0,0,0,0,0,0,1,5,2,2,0,0,0,0,253
287,1,12,6,0,0,1,1,0,0,5,3,4,1,2,2,0,0,0,0,0,0,0,0,0,0,9,8,1,1,0,0,100
288,2,9,7,0,0,0,0,0,0,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,121
289,1,5,2,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,34
290,1,4,2,0,0,2,2,2,1,6,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,4,2,2,0,0,69
291,1,1,1,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
292,1,7,1,0,0,3,1,4,1,11,3,6,1,0,0,4,1,0,0,0,0,0,0,2,0,2,0,3,2,0,0,193
293,1,34,30,1,1,7,6,2,1,15,15,0,0,9,8,0,0,0,0,0,0,0,0,2,0,34,33,9,7,0,0,265
294,3,36,0,0,0,6,0,2,0,12,0,6,0,10,0,0,0,1,0,0,0,0,0,3,0,19,0,4,0,0,0,1038
295,1,3,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
296,1,10,2,0,0,4,2,0,2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,2,2,2,0,0,283
297,2,45,29,3,3,3,2,0,0,18,15,11,9,7,8,1,2,0,0,0,0,0,0,0,0,8,5,2,2,0,0,356
298,1,4,5,0,0,1,1,0,0,3,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,-71
299,3,6,6,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36
300,1,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,70
301,3,3,3,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,2,14,3,0,0,1,0,3,0,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,391
303,1,11,2,0,0,1,0,2,0,8,2,5,2,3,1,2,1,0,0,0,0,0,0,0,0,6,2,2,0,0,0,219
304,1,5,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,184
305,1,5,5,0,0,4,4,2,3,10,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,23
306,1,2,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,44
307,1,6,0,0,0,1,0,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,158
