,files changed,lines added,lines removed,loops added,loops removed,ifs added,ifs removed,boolean_op added,boolean_op removed,pairs added,pairs removed,function calls added,function calls removed,assignment added,assignment removed,sizeof added,sizeof removed,continue added,continue removed,break added,break removed,goto added,goto removed,return added,return removed,numerical added,numerical removed,compare added,compare removed,error added,error removed,char changed
127,1,56,2,0,0,9,1,10,1,22,2,12,1,8,0,0,0,0,0,0,0,0,0,9,0,25,1,0,0,8,0,1395
128,1,29,0,2,0,6,0,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,2,0,0,0,1245
129,1,33,6,1,0,3,2,0,0,6,2,2,0,8,2,0,0,0,0,3,0,0,0,0,0,6,4,2,2,0,0,860
130,1,5,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,121
131,1,24,0,0,0,8,0,10,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,25,0,16,0,0,0,611
132,1,5,0,0,0,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,179
133,2,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-66
134,1,13,0,0,0,2,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,322
135,1,6,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178
136,1,24,5,0,0,1,0,2,0,18,7,13,7,1,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,725
137,1,9,0,1,0,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,1,0,368
138,1,7,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,136
139,1,19,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,608
140,1,1,1,0,0,0,0,0,0,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
141,1,3,1,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,0,0,130
142,1,16,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,4,0,0,0,204
143,1,10,0,1,0,2,0,0,0,6,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,307
144,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,195
145,1,74,5,5,0,0,0,1,0,24,5,19,5,4,1,0,0,0,0,2,0,0,0,1,0,18,5,1,0,0,0,2231
146,1,7,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
147,1,12,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,422
148,1,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-42
149,3,58,10,0,0,1,0,4,0,38,6,37,6,9,1,0,0,0,0,0,0,0,0,2,1,13,3,8,0,1,0,1371
150,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,167
151,1,15,4,0,0,5,0,0,0,5,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,11,6,5,0,0,0,315
152,1,10,5,0,0,1,1,0,0,10,4,6,2,8,5,0,0,0,0,0,0,0,0,0,0,6,3,2,1,0,0,232
153,1,21,43,0,0,3,5,0,4,12,18,9,13,6,8,0,0,0,0,0,0,0,0,0,0,1,5,1,4,4,13,-826
154,1,2,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,16
155,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,422
156,1,15,5,0,0,1,1,0,0,5,3,3,2,0,0,0,0,0,0,1,0,0,0,2,1,2,2,0,0,1,0,139
157,1,15,0,0,0,0,0,0,0,14,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,446
158,1,5,0,1,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,166
159,1,27,14,1,1,5,3,4,3,8,7,4,3,0,0,0,0,0,0,0,0,0,0,1,0,9,8,4,3,1,1,350
160,1,1,1,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,-13
161,1,20,0,0,0,0,0,0,0,4,0,4,0,7,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,686
162,1,13,6,0,0,1,0,0,0,8,3,7,3,5,3,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,210
163,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
164,1,10,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,139
165,1,3,0,0,0,0,0,0,0,4,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,126
166,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,157
167,1,5,3,1,1,1,1,1,1,3,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5,4,2,2,0,0,82
168,1,14,0,0,0,1,0,3,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,7,0,4,0,0,0,318
169,1,27,30,0,0,0,3,0,2,13,15,13,12,5,7,0,0,0,0,0,0,0,0,1,3,4,2,0,3,3,10,-131
170,1,7,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,0,0,156
171,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127
172,1,9,1,0,0,0,0,0,0,3,1,3,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,218
173,1,29,6,0,0,2,0,0,0,16,5,14,5,7,3,0,0,0,0,0,0,0,0,3,0,3,0,2,0,2,0,628
174,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
175,1,7,4,0,0,1,0,0,0,8,4,7,4,3,3,3,0,0,0,0,0,0,0,1,0,3,2,1,0,0,0,121
176,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
177,2,16,5,0,0,5,0,0,0,5,0,0,0,5,5,0,0,0,0,1,0,0,0,0,0,11,6,5,0,0,0,311
178,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,75
179,1,4,0,1,0,1,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99
180,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
181,1,1,1,0,0,1,1,1,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20
182,1,17,9,0,0,1,0,0,0,10,7,9,7,5,5,0,0,0,0,0,0,0,0,0,0,4,2,1,0,2,0,207
183,1,8,0,0,0,2,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,236
184,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18
185,1,10,5,0,0,1,1,0,0,10,4,6,2,8,5,0,0,0,0,0,0,0,0,0,0,6,3,2,1,0,0,232
186,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
187,1,25,1,1,0,4,1,1,0,12,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,970
188,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,218
189,2,2,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,30
190,1,25,0,0,0,2,0,2,0,11,0,9,0,4,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,4,0,952
191,1,19,37,0,0,3,4,1,0,12,19,9,15,6,20,0,0,0,0,0,0,0,0,1,0,11,10,1,2,6,17,-442
